URL,状态码,内容类型,Canonical,来源页面数量,是否在 Sitemap,迁移后必须原样保留,允许重定向,目标 URL,验收方法
https://www.xinvstar.xyz/,200,text/html; charset=utf-8,,101,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/[...page],N/A,,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/[...permalink],N/A,,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/2/,200,text/html; charset=utf-8,,4,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/3/,200,text/html; charset=utf-8,,4,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/4/,200,text/html; charset=utf-8,,4,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/404,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/404.html,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/5/,200,text/html; charset=utf-8,,4,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/about,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/about/,200,text/html; charset=utf-8,,101,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/albums,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/albums/,200,text/html; charset=utf-8,,101,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/albums/[id]/,N/A,,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/albums/AcgExample/,200,text/html; charset=utf-8,,2,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/anime,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/anime/,200,text/html; charset=utf-8,,101,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/api/allPostMeta.json,200,application/json; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/api/calendar-data.json,200,application/json; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/,200,text/html; charset=utf-8,,101,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?category=%E5%AE%89%E5%85%A8,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?category=AI,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?category=DevOps,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?category=Examples,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?category=Frontend,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?category=Guides,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?category=Technology,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?tag=%E4%BE%9B%E5%BA%94%E9%93%BE%E6%94%BB%E5%87%BB,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?tag=%E5%AE%89%E5%85%A8%E6%8A%A5%E5%91%8A,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
